GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
286009750,20140215,201402,2014,2014.1233,,,,,,,,,,,CHE,SWITZERLAND,CHE,,,,,,,,0,042,042,04,1,1.9,8,1,8,3.80952380952381,0,,,,,,,1,Switzerland,SZ,SZ,47.0,8.0,SZ,1,Switzerland,SZ,SZ,47.0,8.0,SZ,20140215,https://www.gov.uk/government/case-studies/being-an-armed-forces-reservist
286009739,20140215,201402,2014,2014.1233,,,,,,,,,,,CHE,SWITZERLAND,CHE,,,,,,,,0,020,020,02,1,3.0,2,1,2,3.69230769230769,0,,,,,,,1,Switzerland,SZ,SZ,47.0,8.0,SZ,1,Switzerland,SZ,SZ,47.0,8.0,SZ,20140215,http://nybw.businessweek.com/articles/2014-02-13/europes-anti-immigrant-parties-cheer-a-swiss-vote
286170875,20140217,201402,2014,2014.1288,,,,,,,,,,,CHE,SWITZERLAND,CHE,,,,,,,,0,040,040,04,1,1.0,16,1,16,2.43163687290759,0,,,,,,,1,Switzerland,SZ,SZ,47.0,8.0,SZ,1,Switzerland,SZ,SZ,47.0,8.0,SZ,20140217,http://www.dw.de/study-eastern-europeans-underpaid-in-germany/a-17431961?maca=en-Newsisfree_englishpolitics-39-rdf
286170948,20140217,201402,2014,2014.1288,,,,,,,,,,,CHE,SWITZERLAND,CHE,,,,,,,,1,046,046,04,1,7.0,13,3,13,3.42983405806713,0,,,,,,,1,Switzerland,SZ,SZ,47.0,8.0,SZ,1,Switzerland,SZ,SZ,47.0,8.0,SZ,20140217,http://www.chinadaily.com.cn/world/2014-02/17/content_17286106.htm
286170864,20140217,201402,2014,2014.1288,,,,,,,,,,,CHE,SWITZERLAND,CHE,,,,,,,,0,020,020,02,1,3.0,5,1,5,3.8,0,,,,,,,1,Switzerland,SZ,SZ,47.0,8.0,SZ,1,Switzerland,SZ,SZ,47.0,8.0,SZ,20140217,http://armenpress.am/eng/news/750120/armenian-bar-association-addresses-swiss-ambassadors-to-us-and-canada-on-perinC3A7eks-case.html
286171002,20140217,201402,2014,2014.1288,,,,,,,,,,,CHEGOVCOP,SIMONETTA SOMMARUGA,CHE,,,,,GOV,COP,,1,020,020,02,1,3.0,3,1,3,3.34728033472803,0,,,,,,,1,Switzerland,SZ,SZ,47.0,8.0,SZ,1,Switzerland,SZ,SZ,47.0,8.0,SZ,20140217,http://www.europeanvoice.com/article/2014/february/eu-suspends-research-talks-with-switzerland/79708.aspx
286170950,20140217,201402,2014,2014.1288,,,,,,,,,,,CHE,SWISS,CHE,,,,,,,,1,051,051,05,1,3.4,7,2,7,2.27629513343799,0,,,,,,,1,Switzerland,SZ,SZ,47.0,8.0,SZ,1,Switzerland,SZ,SZ,47.0,8.0,SZ,20140217,http://betanews.com/2014/02/17/swiss-file-knife-is-the-ultimate-command-line-toolkit/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed+-+bn+-+Betanews+Full+Content+Feed+-+BN
286170998,20140217,201402,2014,2014.1288,,,,,,,,,,,CHEBUS,SWISS,CHE,,,,,BUS,,,0,040,040,04,1,1.0,24,1,24,2.43163687290759,0,,,,,,,1,Switzerland,SZ,SZ,47.0,8.0,SZ,1,Switzerland,SZ,SZ,47.0,8.0,SZ,20140217,http://www.dw.de/study-eastern-europeans-underpaid-in-germany/a-17431961?maca=en-Newsisfree_englishpolitics-39-rdf
286171003,20140217,201402,2014,2014.1288,,,,,,,,,,,CHEHLH,SWISS,CHE,,,,,HLH,,,0,040,040,04,1,1.0,6,1,6,3.76175548589342,0,,,,,,,1,Switzerland,SZ,SZ,47.0,8.0,SZ,1,Switzerland,SZ,SZ,47.0,8.0,SZ,20140217,http://www.theguardian.com/stage/2014/feb/17/christopher-malcolm
286170975,20140217,201402,2014,2014.1288,,,,,,,,,,,CHE,SWITZERLAND,CHE,,,,,,,,0,100,100,10,3,-5.0,4,1,4,2.83553875236295,0,,,,,,,1,Switzerland,SZ,SZ,47.0,8.0,SZ,1,Switzerland,SZ,SZ,47.0,8.0,SZ,20140217,http://www.bclocalnews.com/news/245882831.html
