GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
332409659,20140118,201401,2014,2014.0493,MNCCHE,CREDIT SUISSE,CHE,,,,,MNC,,,,,,,,,,,,,1,020,020,02,1,3.0,10,1,10,3.01204819277108,0,,,,,,,0,,,,,,,0,,,,,,,20150118,http://tvnz.co.nz/world-news/richest-1-set-own-more-than-others-combined-oxfam-warns-6220778
285237066,20140209,201402,2014,2014.1068,CHE,BASEL,CHE,,,,,,,,OMNGOVBUS,OMAN,OMN,,,,,GOV,BUS,,1,051,051,05,1,3.4,10,1,10,6.12244897959184,0,,,,,,,0,,,,,,,0,,,,,,,20140209,http://www.menafn.com/1093767807/alizz-islamic-appoints-compliance-head?src=RSS
285237065,20140209,201402,2014,2014.1068,CHE,BASEL,CHE,,,,,,,,OMNGOVBUS,OMAN,OMN,,,,,GOV,BUS,,1,030,030,03,1,4.0,10,1,10,6.12244897959184,0,,,,,,,0,,,,,,,0,,,,,,,20140209,http://www.menafn.com/1093767807/alizz-islamic-appoints-compliance-head?src=RSS
286167391,20140210,201402,2014,2014.1096,MNCCHE,CREDIT SUISSE,CHE,,,,,MNC,,,,,,,,,,,,,1,071,071,07,2,7.4,20,1,20,1.81818181818182,0,,,,,,,0,,,,,,,0,,,,,,,20140217,http://www.bizjournals.com/memphis/blog/morning_call/2014/02/regions-cfo-turner-on-competition.html?ana=RSS&s=article_search&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+bizj_memphis+%28Memphis+Business+Journal%29
285385775,20140210,201402,2014,2014.1096,MNCCHE,CREDIT SUISSE,CHE,,,,,MNC,,,MNCCHNMED,CHINA TELECOM,CHN,,,,,MNC,MED,,1,010,010,01,1,0.0,10,1,10,4.78468899521531,0,,,,,,,0,,,,,,,0,,,,,,,20140210,http://zolmax.com/investing/china-telecom-upgraded-by-bnp-paribas-to-buy-cha/208120/
282926369,20140114,201401,2014,2014.0384,CHEMIL,SWISS,CHE,,,,,MIL,,,,,,,,,,,,,1,111,111,11,3,-2.0,10,1,10,0.0,0,,,,,,,0,,,,,,,0,,,,,,,20140114,http://sgblogs.com/pages/22090879-victorinox-swiss-army-slim-usb-2-dot-0-flash-drive-32gb-blog
282926094,20140114,201401,2014,2014.0384,CHE,BALE,CHE,,,,,,,,GOV,FIREFIGHTER,,,,,,GOV,,,1,190,190,19,4,-10.0,10,1,10,0.735294117647059,0,,,,,,,0,,,,,,,0,,,,,,,20140114,http://www.thenorthernecho.co.uk/news/10936031.Police_appeal_for_information_after_arson_attacks_at_farm/
282926077,20140114,201401,2014,2014.0384,CHE,BALE,CHE,,,,,,,,GOV,FIRE FIGHTER,,,,,,GOV,,,1,043,043,04,1,2.8,5,1,5,1.669449081803,0,,,,,,,0,,,,,,,0,,,,,,,20140114,http://www.bendigoadvertiser.com.au/story/2024230/fire-watch-total-fire-ban-day-15012014/?cs=12
282989082,20140114,201401,2014,2014.0384,MNCCHE,CREDIT SUISSE,CHE,,,,,MNC,,,,,,,,,,,,,1,020,020,02,1,3.0,10,1,10,4.83870967741935,0,,,,,,,0,,,,,,,0,,,,,,,20140114,http://online.wsj.com/news/articles/SB50001424052748704895304578499533960138410?mod=rss_barrons_most_emailed_day&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+barrons%2Fxml%2Frss%2F3_7563+%28Barron%27s+Most+Emailed+Today%29&mg=reno64-wsj&url=
288409887,20140306,201403,2014,2014.1808,CHE,ZURICH,CHE,,,,,,,,,,,,,,,,,,1,020,020,02,1,3.0,30,3,30,2.13983920013373,0,,,,,,,0,,,,,,,0,,,,,,,20140306,"http://www.chicagotribune.com/news/local/suburbs/lake_zurich/ct-lake-zurich-cedar-creek-drainage-study-tl-20140306,0,2244455.story"
