GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
320460238,20141027,201410,2014,2014.8137,,,,,,,,,,,TUN,ARIANA,TUN,,,,,,,,1,043,043,04,1,2.8,10,1,10,7.69230769230769,0,,,,,,,0,,,,,,,0,,,,,,,20141027,http://www.breakingnews.ie/showbiz/mtv-to-honour-songs-message-647798.html
317805032,20141009,201410,2014,2014.7644,men,MENDE,,,men,,,,,,TUN,ARIANA,TUN,,,,,,,,1,042,042,04,1,1.9,10,1,10,2.90909090909091,0,,,,,,,0,,,,,,,0,,,,,,,20141009,http://blogs.citypages.com/gimmenoise/2014/10/1013_kdwb_jingle_ball_2014_lineup.php
319352758,20141020,201410,2014,2014.7945,,,,,,,,,,,TUN,ARIANA,TUN,,,,,,,,1,043,043,04,1,2.8,10,1,10,5.03432494279176,0,,,,,,,0,,,,,,,0,,,,,,,20141020,http://www.sugarscape.com/main-topics/celebrities/1073436/ariana-grande-reveals-she-went-miley-cyrus-advice-after-being-accuse
323928629,20141118,201411,2014,2014.8712,ARE,UNITED ARAB EMIRATES,ARE,,,,,,,,TUNGOV,TUNISIA,TUN,,,,,GOV,,,0,042,042,04,1,1.9,1,1,1,2.80701754385965,1,United Arab Emirates,AE,AE,24.0,54.0,AE,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,1,United Arab Emirates,AE,AE,24.0,54.0,AE,20141118,http://allafrica.com/stories/201411180256.html
323928628,20141118,201411,2014,2014.8712,ARE,UNITED ARAB EMIRATES,ARE,,,,,,,,TUN,TUNISIA,TUN,,,,,,,,1,040,040,04,1,1.0,8,1,8,2.80701754385965,1,United Arab Emirates,AE,AE,24.0,54.0,AE,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,1,United Arab Emirates,AE,AE,24.0,54.0,AE,20141118,http://allafrica.com/stories/201411180256.html
323928627,20141118,201411,2014,2014.8712,ARE,UNITED ARAB EMIRATES,ARE,,,,,,,,TUN,TUNISIA,TUN,,,,,,,,1,040,040,04,1,1.0,2,1,2,2.80701754385965,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,1,United Arab Emirates,AE,AE,24.0,54.0,AE,20141118,http://allafrica.com/stories/201411180256.html
324351035,20141120,201411,2014,2014.8767,GOV,PRESIDENT,,,,,,GOV,,,TUN,TUNISIA,TUN,,,,,,,,1,173,173,17,4,-5.0,2,1,2,1.13636363636364,4,"Tunis, (TS26), Tunisia",TS,TS26,36.8028,10.1797,-731701,1,United Arab Emirates,AE,AE,24.0,54.0,AE,1,United Arab Emirates,AE,AE,24.0,54.0,AE,20141120,http://allafrica.com/stories/201411201137.html
316724451,20141002,201410,2014,2014.7452,USA,UNITED STATES,USA,,,,,,,,TUN,TUNISIAN,TUN,,,,,,,,0,190,190,19,4,-10.0,2,1,2,1.84409052808047,1,Afghanistan,AF,AF,33.0,65.0,AF,1,Afghanistan,AF,AF,33.0,65.0,AF,1,Afghanistan,AF,AF,33.0,65.0,AF,20141002,http://www.spacewar.com/reports/Tunisian_youths_at_forefront_of_Syria_jihad_999.html/RK=0
316607615,20141001,201410,2014,2014.7425,USA,UNITED STATES,USA,,,,,,,,TUN,TUNISIAN,TUN,,,,,,,,0,190,190,19,4,-10.0,8,3,8,1.35603875288954,1,Afghanistan,AF,AF,33.0,65.0,AF,1,Afghanistan,AF,AF,33.0,65.0,AF,1,Afghanistan,AF,AF,33.0,65.0,AF,20141001,http://www.news24.com/World/News/Tunisian-youths-at-forefront-of-Syria-jihad-20141001-11
316607616,20141001,201410,2014,2014.7425,USA,UNITED STATES,USA,,,,,,,,TUN,TUNISIAN,TUN,,,,,,,,0,190,190,19,4,-10.0,2,1,2,1.31004366812227,1,Afghanistan,AF,AF,33.0,65.0,AF,1,Iraq,IZ,IZ,33.0,44.0,IZ,1,Afghanistan,AF,AF,33.0,65.0,AF,20141001,http://www.middleeasteye.net/news/tunisian-youths-forefront-syrias-foreign-fighters-2092065276
323008626,20141112,201411,2014,2014.8548,AFG,AFGHANISTAN,AFG,,,,,,,,TUN,TUNISIA,TUN,,,,,,,,1,051,051,05,1,3.4,4,1,4,2.67206477732794,1,Afghanistan,AF,AF,33.0,65.0,AF,1,Tunisia,TS,TS,34.0,9.0,TS,1,Afghanistan,AF,AF,33.0,65.0,AF,20141112,http://english.ahram.org.eg/NewsContent/2/8/115193/World/Region/Salafism-in-Tunisia-has-no-future-Interview-.aspx
